Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,3.79297,0.13879,2.05078,0.43068,0.79513,0.79513
1,256,3.48047,0.12736,1.99219,0.41838,0.80732,0.80732
2,256,3.51172,0.12850,1.99219,0.41838,0.80271,0.80271
3,256,4.01562,0.14694,2.04297,0.42904,0.77963,0.77963
4,256,3.65625,0.13379,2.03516,0.42740,0.79280,0.79280
5,256,3.89844,0.14265,2.04688,0.42986,0.78047,0.78047
6,256,3.62891,0.13279,1.94141,0.40771,0.79721,0.79721
7,256,3.22656,0.11807,1.94141,0.40771,0.82123,0.82123
8,256,3.77734,0.13822,2.01953,0.42412,0.79161,0.79161
9,256,3.63672,0.13308,1.96875,0.41345,0.79746,0.79746
10,256,3.32812,0.12178,1.91406,0.40197,0.81542,0.81542
11,256,3.33594,0.12207,1.88672,0.39623,0.81896,0.81896
12,256,3.06641,0.11221,1.88281,0.39541,0.82717,0.82717
13,256,3.33594,0.12207,1.94141,0.40771,0.80963,0.80963
14,256,3.42969,0.12550,1.96875,0.41345,0.80920,0.80920
15,256,3.44531,0.12607,1.96875,0.41345,0.81160,0.81160
16,256,3.21875,0.11778,1.89062,0.39705,0.82080,0.82080
17,256,3.28125,0.12007,1.91406,0.40197,0.81112,0.81112
18,256,3.48828,0.12764,1.94141,0.40771,0.80562,0.80562
19,256,3.36328,0.12307,2.02344,0.42494,0.80106,0.80106
20,256,3.58984,0.13136,2.01562,0.42330,0.79184,0.79184
21,256,3.28906,0.12035,1.99219,0.41838,0.81545,0.81545
22,256,3.33984,0.12221,1.88281,0.39541,0.80881,0.80881
23,256,3.55469,0.13007,1.96875,0.41345,0.79518,0.79518
24,256,3.25391,0.11907,1.91406,0.40197,0.81297,0.81297
25,256,3.51562,0.12864,1.91016,0.40115,0.80177,0.80177
26,256,3.08203,0.11278,1.80859,0.37982,0.83303,0.83303
27,256,3.25391,0.11907,1.91406,0.40197,0.81211,0.81211
28,256,3.27344,0.11978,1.91016,0.40115,0.81681,0.81681
29,256,3.42578,0.12536,1.96484,0.41263,0.80349,0.80349
30,256,3.12891,0.11449,1.95703,0.41099,0.81340,0.81340
31,256,3.39844,0.12436,2.01953,0.42412,0.79835,0.79835
32,256,3.05469,0.11178,1.85547,0.38966,0.82390,0.82390
33,256,3.11719,0.11407,1.85938,0.39048,0.82966,0.82966
34,256,3.01172,0.11021,1.80078,0.37818,0.83839,0.83839
35,256,3.37109,0.12336,1.85547,0.38966,0.81615,0.81615
36,256,3.15625,0.11549,1.85156,0.38884,0.82188,0.82188
37,256,3.12500,0.11435,1.77344,0.37244,0.82771,0.82771
38,256,2.89062,0.10577,1.70312,0.35767,0.84648,0.84648
39,256,3.00781,0.11006,1.83203,0.38474,0.83293,0.83293
40,256,3.13281,0.11464,1.85156,0.38884,0.82445,0.82445
41,256,2.87109,0.10506,1.80469,0.37900,0.83568,0.83568
42,256,2.89453,0.10592,1.82812,0.38392,0.83738,0.83738
43,256,2.90625,0.10635,1.80078,0.37818,0.84063,0.84063
44,256,2.80859,0.10277,1.74609,0.36669,0.83953,0.83953
45,256,3.03125,0.11092,1.76953,0.37162,0.83214,0.83214
46,256,2.97266,0.10878,1.75000,0.36751,0.83144,0.83144
47,256,2.68750,0.09834,1.69141,0.35521,0.84682,0.84682
48,256,2.69922,0.09877,1.75391,0.36833,0.84389,0.84389
49,256,2.46094,0.09005,1.69531,0.35603,0.85730,0.85730
50,256,2.66797,0.09763,1.72266,0.36177,0.84883,0.84883
51,256,2.67969,0.09806,1.77734,0.37326,0.85580,0.85580
52,256,2.49609,0.09134,1.70703,0.35849,0.86155,0.86155
53,256,2.78906,0.10206,1.80469,0.37900,0.84614,0.84614
54,256,2.41797,0.08848,1.69922,0.35685,0.86071,0.86071
55,256,2.73438,0.10006,1.77734,0.37326,0.84886,0.84886
56,256,2.83594,0.10377,1.82812,0.38392,0.83878,0.83878
57,256,2.54297,0.09305,1.75000,0.36751,0.85604,0.85604
58,256,2.51562,0.09205,1.75391,0.36833,0.85366,0.85366
59,256,2.54297,0.09305,1.72266,0.36177,0.85737,0.85737
60,256,2.31641,0.08476,1.64453,0.34537,0.86866,0.86866
61,256,2.73438,0.10006,1.77734,0.37326,0.84512,0.84512
62,256,2.40234,0.08791,1.67578,0.35193,0.86384,0.86384
63,256,2.43359,0.08905,1.69531,0.35603,0.86032,0.86032
64,256,2.62891,0.09620,1.80469,0.37900,0.84005,0.84005
65,256,2.59766,0.09505,1.77734,0.37326,0.84799,0.84799
66,256,2.59375,0.09491,1.73047,0.36341,0.85545,0.85545
67,256,2.46094,0.09005,1.69531,0.35603,0.86097,0.86097
