Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
92,256,6.12500,0.22413,2.32812,0.48893,0.70298,0.70298
93,256,6.05859,0.22170,2.34375,0.49221,0.69749,0.69749
94,256,5.82422,0.21312,2.41016,0.50615,0.71439,0.71439
95,256,5.53516,0.20254,2.26953,0.47662,0.73202,0.73202
96,256,5.69922,0.20855,2.26172,0.47498,0.71162,0.71162
97,256,5.74219,0.21012,2.29297,0.48154,0.72282,0.72282
98,256,5.55469,0.20326,2.32031,0.48728,0.72797,0.72797
99,256,5.86328,0.21455,2.32422,0.48811,0.70948,0.70948
100,256,5.95312,0.21784,2.39062,0.50205,0.70601,0.70601
101,256,5.96484,0.21827,2.51172,0.52748,0.68040,0.68040
102,256,6.10547,0.22341,2.34375,0.49221,0.69573,0.69573
103,256,5.82031,0.21298,2.29688,0.48236,0.72203,0.72203
104,256,5.93359,0.21712,2.25391,0.47334,0.71468,0.71468
105,256,5.65234,0.20683,2.28906,0.48072,0.72630,0.72630
106,256,5.59375,0.20469,2.26562,0.47580,0.72985,0.72985
107,256,5.68750,0.20812,2.26172,0.47498,0.71852,0.71852
108,256,5.91797,0.21655,2.34766,0.49303,0.70766,0.70766
109,256,5.97656,0.21870,2.28125,0.47908,0.70845,0.70845
110,256,6.15625,0.22527,2.42578,0.50943,0.69725,0.69725
111,256,6.02344,0.22041,2.38281,0.50041,0.70223,0.70223
112,256,5.53906,0.20269,2.20703,0.46349,0.72932,0.72932
113,256,5.50391,0.20140,2.23047,0.46842,0.73110,0.73110
114,256,5.60156,0.20497,2.17969,0.45775,0.73200,0.73200
115,256,5.45703,0.19969,2.21484,0.46514,0.72707,0.72707
116,256,5.50781,0.20154,2.25781,0.47416,0.73096,0.73096
117,256,5.74609,0.21026,2.25781,0.47416,0.71931,0.71931
118,256,5.58594,0.20440,2.27344,0.47744,0.72561,0.72561
119,256,5.64062,0.20640,2.25391,0.47334,0.72549,0.72549
120,256,5.57812,0.20412,2.26562,0.47580,0.72329,0.72329
121,256,6.64844,0.24328,2.49219,0.52338,0.66918,0.66918
122,256,5.58984,0.20455,2.26172,0.47498,0.73236,0.73236
123,256,5.69141,0.20826,2.33984,0.49139,0.71895,0.71895
124,256,5.47656,0.20040,2.25000,0.47252,0.72464,0.72464
125,256,5.82422,0.21312,2.29688,0.48236,0.72060,0.72060
126,256,5.71875,0.20926,2.30469,0.48400,0.71589,0.71589
127,256,5.35938,0.19611,2.23438,0.46924,0.74078,0.74078
128,256,5.30859,0.19425,2.30469,0.48400,0.74169,0.74169
129,256,5.46094,0.19983,2.29297,0.48154,0.73289,0.73289
130,256,5.38672,0.19711,2.17578,0.45693,0.74122,0.74122
131,256,5.31641,0.19454,2.23828,0.47006,0.73592,0.73592
132,256,5.33984,0.19540,2.21094,0.46432,0.74320,0.74320
133,256,6.71875,0.24585,2.41406,0.50697,0.67443,0.67443
134,256,5.72656,0.20955,2.31250,0.48564,0.71635,0.71635
135,256,5.30078,0.19397,2.19141,0.46021,0.74125,0.74125
136,256,5.47266,0.20026,2.25000,0.47252,0.72624,0.72624
137,256,6.80078,0.24886,2.47656,0.52010,0.67038,0.67038
138,256,7.32812,0.26815,2.44531,0.51354,0.66252,0.66252
139,256,5.77344,0.21126,2.32031,0.48728,0.71410,0.71410
140,256,5.57812,0.20412,2.29297,0.48154,0.72890,0.72890
141,256,6.65625,0.24357,2.37891,0.49959,0.67367,0.67367
142,256,6.72656,0.24614,2.44531,0.51354,0.67918,0.67918
143,256,6.68750,0.24471,2.52734,0.53076,0.67738,0.67738
144,256,5.86328,0.21455,2.23047,0.46842,0.71716,0.71716
145,256,5.81250,0.21269,2.26172,0.47498,0.71821,0.71821
146,256,7.21484,0.26401,2.41406,0.50697,0.65892,0.65892
147,256,6.66406,0.24385,2.35547,0.49467,0.67769,0.67769
148,256,5.50391,0.20140,2.17188,0.45611,0.73315,0.73315
149,256,6.84375,0.25043,2.39844,0.50369,0.67290,0.67290
150,256,5.48828,0.20083,2.16797,0.45529,0.73324,0.73324
151,256,6.58594,0.24099,2.43750,0.51189,0.68488,0.68488
152,256,6.64453,0.24314,2.33594,0.49057,0.67500,0.67500
153,256,6.84766,0.25057,2.42188,0.50861,0.66919,0.66919
