Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,21.94922,0.80317,6.03125,1.26661,0.04414,0.04414
1,256,21.54297,0.78831,6.00391,1.26087,0.06601,0.06601
2,256,21.70312,0.79417,6.03516,1.26743,0.02988,0.02988
3,256,21.34375,0.78102,5.53516,1.16243,0.03179,0.03179
4,256,21.79688,0.79760,4.91406,1.03199,0.02826,0.02826
5,256,21.32812,0.78045,5.14844,1.08121,0.03323,0.03323
6,256,21.80078,0.79774,5.64062,1.18458,0.05037,0.05037
7,256,21.25391,0.77773,5.21094,1.09434,0.01311,0.01311
8,256,21.52344,0.78759,4.70312,0.98769,0.01597,0.01597
9,256,21.12500,0.77301,5.10938,1.07301,0.00000,0.00000
10,256,21.94141,0.80289,4.80859,1.00984,0.00000,0.00000
11,256,20.41406,0.74700,5.50781,1.15669,0.03299,0.03299
12,256,21.39844,0.78302,5.27344,1.10747,0.02100,0.02100
13,256,22.23828,0.81375,4.68359,0.98359,0.00408,0.00408
14,256,20.17578,0.73828,6.66406,1.39951,0.02823,0.02823
15,256,22.65625,0.82905,4.66016,0.97867,0.01416,0.01416
16,256,21.17969,0.77501,4.96484,1.04266,0.02203,0.02203
17,256,22.56641,0.82576,4.63281,0.97293,0.01388,0.01388
18,256,21.49219,0.78645,4.69922,0.98687,0.02141,0.02141
19,256,22.17188,0.81132,4.60938,0.96801,0.01520,0.01520
20,256,21.59766,0.79031,4.65234,0.97703,0.01791,0.01791
21,256,22.30469,0.81618,4.57422,0.96062,0.00842,0.00842
22,256,22.04297,0.80660,4.57812,0.96144,0.01018,0.01018
23,256,22.07031,0.80760,4.62891,0.97211,0.00729,0.00729
24,256,21.60938,0.79074,4.57812,0.96144,0.01409,0.01409
25,256,22.21875,0.81304,4.58203,0.96226,0.00606,0.00606
26,256,21.99609,0.80489,4.55469,0.95652,0.01006,0.01006
27,256,21.67188,0.79302,4.63672,0.97375,0.01595,0.01595
28,256,21.63281,0.79160,4.62891,0.97211,0.00936,0.00936
29,256,21.98438,0.80446,4.57812,0.96144,0.01065,0.01065
30,256,21.67578,0.79317,4.62891,0.97211,0.01415,0.01415
31,256,21.25781,0.77787,4.63672,0.97375,0.01678,0.01678
32,256,22.26172,0.81461,4.57812,0.96144,0.00434,0.00434
33,256,21.40625,0.78330,4.63672,0.97375,0.01277,0.01277
34,256,22.42578,0.82061,4.52734,0.95078,0.00967,0.00967
35,256,22.37109,0.81861,4.60547,0.96719,0.00775,0.00775
36,256,22.13672,0.81003,4.62891,0.97211,0.01482,0.01482
37,256,21.79688,0.79760,4.63281,0.97293,0.01176,0.01176
38,256,22.27344,0.81504,4.58203,0.96226,0.01158,0.01158
39,256,22.33203,0.81718,4.60547,0.96719,0.00682,0.00682
40,256,21.84375,0.79931,4.57812,0.96144,0.01168,0.01168
41,256,22.41016,0.82004,4.60547,0.96719,0.01235,0.01235
42,256,22.09766,0.80860,4.57812,0.96144,0.01825,0.01825
43,256,22.46094,0.82190,4.60938,0.96801,0.01160,0.01160
44,256,22.33594,0.81732,4.55469,0.95652,0.01213,0.01213
45,256,22.19922,0.81232,4.57812,0.96144,0.01295,0.01295
46,256,21.75000,0.79588,4.47656,0.94011,0.01832,0.01832
47,256,21.94922,0.80317,4.57812,0.96144,0.01374,0.01374
48,256,21.75000,0.79588,4.60938,0.96801,0.01716,0.01716
49,256,21.43359,0.78431,4.58203,0.96226,0.01564,0.01564
50,256,21.98047,0.80432,4.60547,0.96719,0.01103,0.01103
51,256,20.87109,0.76372,4.60547,0.96719,0.03637,0.03637
52,256,21.76562,0.79646,4.60547,0.96719,0.01042,0.01042
53,256,20.73438,0.75872,4.64062,0.97457,0.03421,0.03421
54,256,20.94141,0.76630,4.63281,0.97293,0.01976,0.01976
55,256,21.84375,0.79931,4.60938,0.96801,0.00998,0.00998
56,256,20.60938,0.75415,4.57812,0.96144,0.02874,0.02874
57,256,20.91797,0.76544,4.63281,0.97293,0.01184,0.01184
58,256,21.00781,0.76872,4.57812,0.96144,0.01782,0.01782
59,256,21.19531,0.77559,4.60938,0.96801,0.00838,0.00838
60,256,21.16797,0.77459,4.57422,0.96062,0.01954,0.01954
61,256,21.16406,0.77444,4.58203,0.96226,0.01620,0.01620
62,256,20.48047,0.74943,4.53125,0.95160,0.04477,0.04477
63,256,21.42578,0.78402,4.60938,0.96801,0.01482,0.01482
64,256,20.42578,0.74743,4.60547,0.96719,0.02713,0.02713
65,256,21.86719,0.80017,4.66016,0.97867,0.00579,0.00579
66,256,20.47266,0.74914,4.68750,0.98441,0.02262,0.02262
67,256,20.85156,0.76301,4.69141,0.98523,0.01925,0.01925
68,256,20.98438,0.76787,4.57812,0.96144,0.01888,0.01888
69,256,20.89062,0.76444,4.60938,0.96801,0.02448,0.02448
70,256,20.63672,0.75515,4.63672,0.97375,0.02650,0.02650
71,256,20.34375,0.74443,4.55859,0.95734,0.03874,0.03874
72,256,20.61719,0.75443,4.62891,0.97211,0.02485,0.02485
73,256,20.14453,0.73714,4.63672,0.97375,0.03321,0.03321
74,256,20.22266,0.73999,4.58203,0.96226,0.03513,0.03513
75,256,19.89062,0.72784,4.50391,0.94586,0.04515,0.04515
76,256,20.01953,0.73256,4.58203,0.96226,0.03946,0.03946
77,256,20.35938,0.74500,4.42969,0.93027,0.03678,0.03678
78,256,19.13672,0.70026,4.55859,0.95734,0.08450,0.08450
79,256,20.16406,0.73785,4.60938,0.96801,0.02399,0.02399
80,256,19.90234,0.72827,4.55859,0.95734,0.04431,0.04431
81,256,19.67969,0.72013,4.55469,0.95652,0.04900,0.04900
82,256,20.42578,0.74743,4.52734,0.95078,0.03077,0.03077
83,256,19.75391,0.72284,4.56250,0.95816,0.04725,0.04725
84,256,20.70312,0.75758,4.63281,0.97293,0.01807,0.01807
85,256,20.05469,0.73385,4.60938,0.96801,0.03392,0.03392
86,256,20.15625,0.73756,4.53125,0.95160,0.03280,0.03280
87,256,20.02344,0.73270,4.58203,0.96226,0.03744,0.03744
88,256,20.18359,0.73856,4.60938,0.96801,0.03118,0.03118
89,256,19.89844,0.72813,4.48438,0.94176,0.05402,0.05402
90,256,19.45312,0.71184,4.53125,0.95160,0.06410,0.06410
91,256,19.11328,0.69940,4.51172,0.94750,0.07208,0.07208
92,256,19.87891,0.72742,4.58203,0.96226,0.04601,0.04601
93,256,19.49609,0.71341,4.53516,0.95242,0.05377,0.05377
94,256,19.44922,0.71169,4.52734,0.95078,0.06400,0.06400
95,256,19.60938,0.71755,4.45703,0.93601,0.06104,0.06104
96,256,19.04297,0.69683,4.50781,0.94668,0.07846,0.07846
97,256,19.22266,0.70340,4.48047,0.94094,0.06714,0.06714
98,256,19.33203,0.70740,4.48047,0.94094,0.07129,0.07129
99,256,18.42969,0.67439,4.56250,0.95816,0.07674,0.07674
