Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,18.25000,0.66781,4.87109,1.02297,0.07297,0.07297
1,256,19.17188,0.70154,4.55469,0.95652,0.04572,0.04572
2,256,19.91797,0.72885,4.54688,0.95488,0.04231,0.04231
3,256,18.91406,0.69211,4.68750,0.98441,0.05915,0.05915
4,256,19.68750,0.72041,4.54688,0.95488,0.05788,0.05788
5,256,18.72266,0.68511,4.58203,0.96226,0.07218,0.07218
6,256,19.29297,0.70597,4.47656,0.94011,0.06537,0.06537
7,256,17.89062,0.65466,4.61328,0.96883,0.08292,0.08292
8,256,19.30078,0.70626,4.42578,0.92945,0.07062,0.07062
9,256,17.69141,0.64737,4.87891,1.02461,0.08771,0.08771
10,256,18.51172,0.67739,4.44922,0.93437,0.07503,0.07503
11,256,17.96875,0.65752,4.53516,0.95242,0.09013,0.09013
12,256,18.51172,0.67739,4.53516,0.95242,0.08255,0.08255
13,256,18.66016,0.68282,4.49609,0.94422,0.06900,0.06900
14,256,18.46484,0.67567,4.42578,0.92945,0.08821,0.08821
15,256,18.26562,0.66838,4.65625,0.97785,0.08303,0.08303
16,256,18.46875,0.67581,4.60938,0.96801,0.06542,0.06542
17,256,18.55859,0.67910,4.31641,0.90648,0.08292,0.08292
18,256,18.07422,0.66138,4.58203,0.96226,0.06549,0.06549
19,256,18.14844,0.66409,4.41797,0.92781,0.09857,0.09857
20,256,18.00391,0.65881,4.60547,0.96719,0.09698,0.09698
21,256,18.25781,0.66810,4.58594,0.96308,0.09484,0.09484
22,256,18.35938,0.67181,4.50391,0.94586,0.07402,0.07402
23,256,17.59766,0.64394,4.63672,0.97375,0.09562,0.09562
24,256,18.30859,0.66995,4.47266,0.93929,0.08025,0.08025
25,256,17.82422,0.65223,4.47656,0.94011,0.11944,0.11944
26,256,17.51953,0.64108,4.47656,0.94011,0.13789,0.13789
27,256,17.80078,0.65137,4.47266,0.93929,0.11232,0.11232
28,256,17.35938,0.63522,4.45312,0.93519,0.13593,0.13593
29,256,17.51562,0.64094,4.44922,0.93437,0.13815,0.13815
30,256,18.50781,0.67724,4.42188,0.92863,0.10960,0.10960
31,256,17.05859,0.62421,4.39453,0.92289,0.15165,0.15165
32,256,16.85156,0.61664,4.41797,0.92781,0.16854,0.16854
33,256,17.25000,0.63122,4.39062,0.92207,0.15543,0.15543
34,256,16.49609,0.60363,4.49609,0.94422,0.17388,0.17388
35,256,17.52344,0.64122,4.42188,0.92863,0.15247,0.15247
36,256,17.20703,0.62965,4.39453,0.92289,0.16278,0.16278
37,256,16.10156,0.58919,4.44531,0.93355,0.21028,0.21028
38,256,16.76562,0.61349,4.42188,0.92863,0.17483,0.17483
39,256,17.04688,0.62379,4.42188,0.92863,0.17589,0.17589
40,256,15.95703,0.58391,4.41406,0.92699,0.19513,0.19513
41,256,16.85938,0.61692,4.42188,0.92863,0.16937,0.16937
42,256,16.98438,0.62150,4.33984,0.91140,0.16672,0.16672
43,256,15.89062,0.58148,4.42578,0.92945,0.21621,0.21621
44,256,16.10547,0.58934,4.26172,0.89500,0.21050,0.21050
45,256,15.78906,0.57776,4.23438,0.88925,0.23231,0.23231
46,256,16.19531,0.59262,4.36328,0.91632,0.19708,0.19708
47,256,16.33203,0.59763,4.34375,0.91222,0.20423,0.20423
48,256,15.54297,0.56875,4.53906,0.95324,0.21061,0.21061
49,256,16.03906,0.58691,4.12891,0.86710,0.21051,0.21051
50,256,16.27734,0.59563,4.41797,0.92781,0.18696,0.18696
51,256,15.12500,0.55346,4.04297,0.84906,0.25537,0.25537
52,256,16.04688,0.58719,4.19922,0.88187,0.22430,0.22430
53,256,15.17969,0.55546,4.15625,0.87285,0.24510,0.24510
54,256,14.48438,0.53002,4.03516,0.84742,0.28433,0.28433
55,256,15.83203,0.57933,4.12109,0.86546,0.21979,0.21979
56,256,14.20312,0.51973,4.11328,0.86382,0.29455,0.29455
57,256,15.69531,0.57433,4.12891,0.86710,0.22474,0.22474
58,256,14.40234,0.52702,3.95312,0.83019,0.28117,0.28117
59,256,14.07422,0.51501,3.89844,0.81870,0.29561,0.29561
60,256,14.31641,0.52387,4.00781,0.84167,0.27265,0.27265
61,256,14.39453,0.52673,3.88672,0.81624,0.28329,0.28329
62,256,13.64453,0.49929,3.86719,0.81214,0.30188,0.30188
63,256,14.71094,0.53831,4.05859,0.85234,0.25365,0.25365
64,256,13.29297,0.48642,3.92578,0.82445,0.31353,0.31353
65,256,13.71875,0.50200,4.10938,0.86300,0.30390,0.30390
66,256,14.49219,0.53030,4.14062,0.86957,0.24778,0.24778
67,256,13.32812,0.48771,4.03125,0.84660,0.30489,0.30489
68,256,13.55469,0.49600,3.93359,0.82609,0.31655,0.31655
69,256,14.15625,0.51801,3.92578,0.82445,0.29578,0.29578
70,256,12.84375,0.46998,4.08203,0.85726,0.31967,0.31967
71,256,14.48828,0.53016,4.13672,0.86874,0.26484,0.26484
72,256,12.55469,0.45941,3.89453,0.81788,0.35128,0.35128
73,256,13.30859,0.48699,4.00000,0.84003,0.29983,0.29983
74,256,12.60547,0.46126,3.79297,0.79655,0.34871,0.34871
75,256,11.37500,0.41624,3.62891,0.76210,0.41127,0.41127
76,256,13.64844,0.49943,3.97656,0.83511,0.30413,0.30413
77,256,11.93359,0.43668,3.74219,0.78589,0.37430,0.37430
78,256,12.43359,0.45497,3.76953,0.79163,0.35347,0.35347
79,256,11.42578,0.41810,3.68359,0.77358,0.39718,0.39718
80,256,12.40234,0.45383,3.75391,0.78835,0.36644,0.36644
81,256,12.13281,0.44397,3.82422,0.80312,0.35188,0.35188
82,256,12.66406,0.46341,3.79688,0.79737,0.33405,0.33405
83,256,11.51562,0.42138,3.80078,0.79820,0.38167,0.38167
84,256,11.70312,0.42824,3.71484,0.78015,0.36802,0.36802
85,256,11.26953,0.41238,3.60938,0.75800,0.41195,0.41195
86,256,11.16406,0.40852,3.35938,0.70550,0.45631,0.45631
87,256,11.12500,0.40709,3.56250,0.74815,0.42080,0.42080
88,256,11.30078,0.41352,3.52734,0.74077,0.41084,0.41084
89,256,11.30469,0.41366,3.61328,0.75882,0.40071,0.40071
90,256,10.62891,0.38894,3.59766,0.75554,0.43976,0.43976
