Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,11.17188,0.40881,3.76562,0.79081,0.42222,0.42222
1,256,9.96484,0.36464,3.48438,0.73175,0.45865,0.45865
2,256,11.05859,0.40466,3.54688,0.74487,0.42257,0.42257
3,256,9.72656,0.35592,3.35547,0.70468,0.45825,0.45825
4,256,10.22266,0.37407,3.43750,0.72190,0.45756,0.45756
5,256,9.97656,0.36507,3.35156,0.70386,0.47119,0.47119
6,256,9.41797,0.34463,3.25000,0.68253,0.47539,0.47539
7,256,9.14844,0.33476,3.40234,0.71452,0.49089,0.49089
8,256,9.71094,0.35535,3.42578,0.71944,0.47363,0.47363
9,256,9.06641,0.33176,3.30078,0.69319,0.49830,0.49830
10,256,9.03906,0.33076,3.28125,0.68909,0.50922,0.50922
11,256,8.92969,0.32676,3.27344,0.68745,0.51183,0.51183
12,256,8.53516,0.31232,3.12500,0.65628,0.52335,0.52335
13,256,8.62500,0.31561,3.30859,0.69483,0.53962,0.53962
14,256,8.62500,0.31561,3.19922,0.67186,0.52962,0.52962
15,256,8.67188,0.31732,3.24609,0.68171,0.52791,0.52791
16,256,8.17969,0.29931,3.07031,0.64479,0.55605,0.55605
17,256,8.41406,0.30789,3.21875,0.67596,0.53736,0.53736
18,256,8.25391,0.30203,3.12500,0.65628,0.55318,0.55318
19,256,7.99219,0.29245,3.14453,0.66038,0.55501,0.55501
20,256,8.07031,0.29531,3.08984,0.64889,0.57220,0.57220
21,256,7.89453,0.28888,3.08984,0.64889,0.55095,0.55095
22,256,7.92969,0.29017,3.01172,0.63249,0.56119,0.56119
23,256,8.26172,0.30232,3.28516,0.68991,0.56131,0.56131
24,256,7.99219,0.29245,2.98438,0.62674,0.56736,0.56736
25,256,6.99609,0.25600,2.78906,0.58573,0.61862,0.61862
26,256,7.17969,0.26272,2.92969,0.61526,0.60578,0.60578
27,256,7.79297,0.28516,3.03516,0.63741,0.57499,0.57499
28,256,7.05469,0.25815,2.98047,0.62592,0.60518,0.60518
29,256,7.16016,0.26201,2.85156,0.59885,0.60604,0.60604
30,256,7.48828,0.27401,2.80859,0.58983,0.58607,0.58607
31,256,6.74219,0.24671,2.92969,0.61526,0.64015,0.64015
32,256,6.92969,0.25357,2.87500,0.60377,0.62949,0.62949
33,256,6.28516,0.22999,2.90625,0.61034,0.65243,0.65243
34,256,6.29297,0.23027,2.74609,0.57670,0.65772,0.65772
35,256,6.54688,0.23957,2.84766,0.59803,0.64270,0.64270
36,256,6.44531,0.23585,2.81641,0.59147,0.64262,0.64262
